"ID","Category","Severity","Effort","Location","Finding","Why it holds the project back","Suggested change","Verified","Outcome"
"A1","AI capability","High","S","wasm/sim.c evolve()","Every elite clone is a copy of the SAME brain (the all-time-best stash slot), not the top N distinct performers. With the new default of 30 elite clones, 30 bit-identical cars are bred into each generation.","Those 30 cars are deterministic and identical, so they drive the exact same line and produce the exact same fitness. 29 of them are pure wasted compute AND 6% of the population contributes zero search diversity every single generation.","Clone the top N distinct finishers (order[0..N-1]) instead of N copies of one brain, or keep 1-2 copies of the all-time best and fill the rest from distinct ranked parents.","Yes - read the code","Kept as is at your request — ~30 elite clones stop the run forgetting what it has learned"
"A2","AI capability","High","M","wasm/sim.c evolve()","Crossover is uniform per-weight: each weight is taken from parent 1 or parent 2 at random, independently.","For neural networks this is known to be destructive - it breaks up co-adapted groups of weights that only work together, and two networks that solve the task differently produce a broken child. It is a big part of why progress is noisy between generations.","Switch to node-level crossover (take a hidden unit's whole incoming weight vector from one parent), or drop crossover entirely and rely on mutation, which often outperforms uniform crossover for small nets.","Yes - read the code","Fixed — node-level crossover"
"A3","AI capability","Medium","S","wasm/sim.c evolve()","Mutation magnitude is a fixed uniform +/-0.5 and never anneals. Mutation rate is a flat per-weight probability with no decay over generations.","A perturbation that is right for generation 1 is far too coarse for generation 500 - late training keeps kicking good solutions apart instead of refining them. At the new 30% default, ~30% of every brain is randomly shifted by up to +/-0.5 each generation.","Use a Gaussian perturbation and decay its sigma (and/or the rate) as generations progress, or make the magnitude a setting alongside the rate.","Yes - read the code","Fixed — Gaussian mutation, sigma anneals with generation"
"A4","AI capability","Medium","S","wasm/sim.c evolve()","Parent selection picks uniformly at random from the top 20%; the best car and the 100th-best have exactly equal odds.","Throws away most of the fitness signal. Rank-weighted or tournament selection converges noticeably faster for the same population size.","Rank-weighted or small-tournament selection inside the existing pool. Cheap to implement, no data-structure change.","Yes - read the code","Fixed — rank-weighted parent selection"
"A5","AI capability","Medium","M","wasm/sim.c feedForward()","The network is strictly feedforward with no memory or recurrence - each frame's decision is made from that frame's sensors alone.","The car cannot carry any state (which way the last corner went, whether it is mid-overtake, how long it has been understeering). Limits the ceiling of what these brains can ever learn regardless of how long you train.","Add a small recurrent state (feed the previous hidden activations or previous outputs back in as extra inputs). This is a few lines in feedForward plus a wider IN_N.","Yes - read the code","Fixed — previous outputs fed back as two extra inputs"
"A6","AI capability","Medium","S","wasm/sim.c SENSOR_LEN","Sensor range is hard-coded at 180px regardless of the Max Speed setting.","At Max Speed 25 a car covers 25px per frame, so 180px is barely 7 frames of lookahead - the AI physically cannot see far enough ahead to plan a corner entry at high speed. The high end of the Max Speed slider is effectively unusable for good driving.","Scale sensor length with max speed (e.g. a fixed number of seconds of lookahead), or expose it as a setting.","Yes - read the code","Fixed — sensor reach scales with Max Speed; wall buckets resize with it"
"A7","AI capability","Low","S","wasm/sim.c pop_randomize_brains()","Initial weights are uniform [-1,1] with no fan-in scaling.","For a 9-input tanh layer this pushes many units into saturation from the start, where gradients/where useful variation is smallest. Slows down the first few dozen generations.","Scale initial weights by fan-in (Xavier: roughly +/-sqrt(6/(fan_in+fan_out))).","Yes - read the code","Fixed — fan-in (Xavier) initialisation"
"A8","AI capability","Low","S","wasm/sim.c updateCar() fitness","Fitness accrues (speed/maxSpeed)*0.1 every frame the car is alive, uncapped.","Rewards time spent alive as well as speed, so a car circling a wide open section of track can farm fitness without making progress. The gate-timing rewards mostly dominate this, but it is still a pull in the wrong direction.","Award distance-along-track rather than raw frames-at-speed, or cap the per-lap contribution of this term.","Yes - read the code","Fixed — speed reward gated on recent gate progress"
"A9","AI capability","Low","S","wasm/sim.c updateCar()","Crashing costs -50 fitness; stopping (the new no-momentum rule) costs nothing.","Creates a small incentive to brake to a stop in front of a wall rather than hit it. Worth watching now that braking actually works - if 'suicide-stop' behaviour appears in training, this asymmetry is why.","Either apply a smaller penalty for stopping, or drop the crash penalty and let lost progress be the only cost.","Yes - read the code","Fixed — stopping now costs the same as crashing"
"P1","Performance (runtime)","High","S","script.js loop() / state.speedMultiplier","Default Simulation Speed is 1, meaning exactly ONE simulation step per animation frame, each one costing a full postMessage round trip to every worker plus a render-buffer copy.","At the default the app spends almost all of its time on message-passing overhead rather than simulation - the wasm backend is idle between round trips. This is the single biggest reason normal (non-hyper) mode feels slow.","Raise the default to something like 4-8, or decouple simulation rate from render rate (run a fixed-size chunk per frame and draw the latest state).","Yes - read the code","Left alone (not on your list)"
